PUBLICATION_ID,MCZBASE.GET_PUBLICATION_AUTHORS_ALL(P.PUBLICATION_ID),PUBLISHED_YEAR,PUBLICATION_TITLE,JOURNAL_NAME,JOURNAL_ABBREVIATION,VOLUME_NUMBER,ISSUE_NUMBER,BEGINS_PAGE_NUMBER,ENDS_PAGE_NUMBER,PUBLISHER_NAME, 
2725,"Moore, R.C.",1959,no article title available,Treatise on Invert. Paleo. Part O,Treatise on Invert. Paleo. Part O,,,504,,, 
4642,Joachim Barrande,1866,no article title available,Systeme Silurien du Centre de la Boheme Suppleme,Systeme Silurien du Centre de la Boheme Suppleme,,,574,3,, 
4667,"Dall, W.H.",1894,"Cruise of the steam yacht ""Wild Duck"" in the Bahamas, January to April, 1893, in charge of Alexander Agassiz. II. Notes on the shells collected from the shores of the Great Lagoon, Watling Island, Bahamas","Harvard Univ.Mus.Comp.Zoology Bull.25,","Harvard Univ.Mus.Comp.Zoology Bull.25,",9,9,120,121,, 
4716,D.E. Briggs and G.D. Edgecombe,1992,no article title available,Natural History,Natural History,101,11,36,,, 
5684,"Hall, J.",1866,Contributions to Palaeontology,Advance copy of 20th Rept.on State Cab.Nat.History,Advance copy of 20th Rept.on State Cab.Nat.Histor,,,7,,, 
3876,"Brower, J.C.",2005,no article title available,Jour. Paleontology,Jour. Paleontology,1,1,155,,, 
9222,"Copper, P.",2002,no article title available,"Treatise on Invertebrate Paleontology, Brachiopoda, v.H,","Treatise on Invertebrate Paleontology, Brachiopod",4,4,1447,,, 
6378,"Hotchkiss, F.H.C.",1999,no article title available,Jour.Czech Geol.Soc.,Jour.Czech Geol.Soc.,44,,333,,, 
6397,"Runnegar, B.",1974,no article title available,Jour.Paleontology,Jour.Paleontology,48,5,931,3,, 
7545,"Conway Morris, S.",1989,no article title available,"Science,","Science,",246,,340,,, 
7542,"Conway Morris, S. and Whittington, H.",1979,no article title available,"Scientific American,","Scientific American,",241,1,128,,, 
8922,"Evitt, W.R. and H.B. Whittington",1953,no article title available,Jour.Paleontology,Jour.Paleontology,27,1,49,55,, 
9094,"Whittington, H.B.",1956,no article title available,Jour.Paleontology,Jour.Paleontology,30,3,509,,, 
9340,"Mikulic, D.G. and Kluessendorf, J.",2007,no article title available,Fabulous Fossils - 300 years of Worldwide Research on Trilobites,Fabulous Fossils - 300 years of Worldwide Researc,,,162,,, 
6455,"Walcott, C.D.",1916,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,64,3,179,,, 
7695,"Hartman, J.H.",1998,no article title available,Bivalves: An Eon of Evolution,Bivalves: An Eon of Evolution,,,336,,, 
7809,"Yochelson, E.L.",1970,no article title available,U.S.Geol.Survey Prof.Paper 683-B,U.S.Geol.Survey Prof.Paper 683-B,,,,,, 
2859,"Jackson, R.T.",1896,Studies of Palæechinoidea,Geol.Soc.Amer.Bull.,Geol.Soc.Amer.Bull.,7,,222,,, 
5797,"Desor, E.",1847,no article title available,France Geol.Soc.Bull.,France Geol.Soc.Bull.,4,2,287,288,, 
2036,"Hitchcock, C.H.",1904,New studies in the Ammonoosuc district of New Hampshire,Geol.Soc.Amer.Bull 15,Geol.Soc.Amer.Bull 15,,,480,482,, 
1943,"Miller, S.A. and C.B. Dyer",1878,no article title available,Cincinnati Soc.Nat.Hist.Jour.,Cincinnati Soc.Nat.Hist.Jour.,1,1,36,,, 
5887,"Shaw, A. B.",1966,no article title available,Jour.Paleontology,Jour.Paleontology,40,6,1326,,, 
2123,"Miller, A.K. and H. Garner",1953,no article title available,Michigan Univ. Mus. Paleontology Contr.,Michigan Univ. Mus. Paleontology Contr.,11,6,116,,, 
3364,"Parsley, R.L",1991,no article title available,"Bulls.Am.Paleontology,","Bulls.Am.Paleontology,",100,336,37,,, 
4367,"Whittington, H.B.",1950,no article title available,Jour.Paleontology,Jour.Paleontology,24,5,550,551,, 
4835,"Walcott, C.D.",1884,no article title available,U.S.Geol.Survey Bull,U.S.Geol.Survey Bull,10,10,44,,, 
5160,"Whittington, H.B.",2003,no article title available,Jour. Paleontology,Jour. Paleontology,77,4,699,701,, 
4045,"Wood, E.",1914,no article title available,New York Acad.Sci.Annals,New York Acad.Sci.Annals,24,,7,,, 
1020,"Meek, F.B. and A.H. Worthen",1868,no article title available,Illinois Geol.Survey,Illinois Geol.Survey,3,,492,,, 
1739,"Raymond, P.E.",1916,no article title available,Ottawa Naturalist,Ottawa Naturalist,29,,138,,, 
902,"Hauser, J.",1999,no article title available,Die Crinoiden der Frasnes-Stufe (Oberdevon),Die Crinoiden der Frasnes-Stufe (Oberdevon),,,61,,, 
3244,"Lieberman, B.",1999,no article title available,Yale Univ.Peabody Mus.Nat.Hist.Bull.,Yale Univ.Peabody Mus.Nat.Hist.Bull.,45,45,101,,, 
3204,"Merrill, J.A.",1895,Fossil sponges of the flint nodules in the lower Cretaceous of Texas,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,28,1,11,20,, 
908,"Walcott, C.D.",1881,The trilobite: New and old evidence relating to its organization,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,8,10,,,, 
4092,"Pojeta, J",1975,no article title available,Bulls.Am.Paleontology,Bulls.Am.Paleontology,67,287,368,370,, 
4319,"Raymond, P.E.",1925,no article title available,Boston Soc.Nat.Hist. Occasional Papers,Boston Soc.Nat.Hist. Occasional Papers,5,,183,185,, 
14147,"Bangs, O.",1913,The land mammals of Newfoundland,,,,,,,, 
5672,"Boucot, A.J.",1990,no article title available,Evolutionary Paleobio.of Behavior and Coevolution,Evolutionary Paleobio.of Behavior and Coevolution,,,66,68,, 
1450,"Whiteley,T.E., P. Gilman and Kloc,G.J.",1997,no article title available,Am.Paleontologist,Am.Paleontologist,5,2,2,,, 
4666,"Conrad, T.A.",1874,no article title available,Acad.Nat.Sci.Philadelphia Proc.,Acad.Nat.Sci.Philadelphia Proc.,26,,83,,, 
4690,"Foerste, A.F.",1928,no article title available,Denison Univ.Sci.Lab.Jour.,Denison Univ.Sci.Lab.Jour.,23,1,108,110,, 
6383,"Foerste, A.F.",1929,no article title available,Denison Univ.Sci.Lab.Jour.,Denison Univ.Sci.Lab.Jour.,24,10,332,,, 
7286,"Kesling,R. and Christopher R.C. Paul",1971,no article title available,Michigan Univ.Mus.Paleontology Contr.,Michigan Univ.Mus.Paleontology Contr.,23,14,,228,, 
8627,"Sprinkle, J.T.",1974,no article title available,"Jour.Paleontology,","Jour.Paleontology,",48,,1179,12,, 
8515,"Buckman, S.S.",1905,no article title available,"Ammonites of the Inferior Oolite Series, pt.13,supp.","Ammonites of the Inferior Oolite Series, pt.13,su",,,,,, 
7182,"Canu, F. and R.S. Bassler",1926,no article title available,U.S.Natl.Mus.Proc.,U.S.Natl.Mus.Proc.,67,,35,4,, 
8141,"Conway Morris, S. and Collins, D.H.",1996,no article title available,"Philo. Trans. Royal Society of London, Series B,","Philo. Trans. Royal Society of London, Series B,",351,1337,287,7,, 
6053,"Bassler, R.S.",1936,"Geology and paleontology of the Georges Bank Canyons, Part III. Cretaceous bryozoan from Georges Bank","Geol.Soc.Amer.Bull. 47,","Geol.Soc.Amer.Bull. 47,",3,3,411,412,, 
6932,"Bermúdez , P.J.",1935,no article title available,Soc.Cubana.Hist.Nat.Mem.,Soc.Cubana.Hist.Nat.Mem.,9,3,152,,, 
6868,"Fay, R.O.",1961,no article title available,U of KS:Paleo. Contrib. Echino. pt.3,U of KS:Paleo. Contrib. Echino. pt.3,,,54,3,, 
7043,"Buckman, S.S.",1887,Inferior Oolite Ammonites,"Ammonites of the Inferior Oolite Series, pt.1","Ammonites of the Inferior Oolite Series, pt.1",,,20,,, 
8942,"Kummel, B.",1953,no article title available,"Meddelelser om Gronland,","Meddelelser om Gronland,",127,1,12,16,, 
7696,"Morris, P.J. and Williamson, P.G.",1988,no article title available,"J. of Paleontology,","J. of Paleontology,",62,5,758,60,, 
1024,"Meek, F.B. and A.H. Worthen",1873,no article title available,Illinois Geol.Survey,Illinois Geol.Survey,5,,412,,, 
4754,"Petuch, E.J.",1986,no article title available,Jour.Costal Research,Jour.Costal Research,2,4,400,,, 
4997,"Donovan, S.K.",1993,Jamaican Cenozoic Echinoidea,Geol.Soc.Amer.Mem. 182,Geol.Soc.Amer.Mem. 182,,,402,,, 
1430,"Moore, R.C. edit.",1964,no article title available,Treatise on Invertebrate Paleontology,Treatise on Invertebrate Paleontology,,,,,, 
1099,"Raymond, P.E.",1925,Some trilobites of the Lower Middle Ordovician of eastern North America ,Harvard Univ.Mus.Comp.Zoology Bull,Harvard Univ.Mus.Comp.Zoology Bull,67,1,62,,, 
2177,"Saul, J.M.",1967,no article title available,"J. of Paleontology,","J. of Paleontology,",41,5,1128,,, 
14446,"Cloud, P.E.",1948,Brachiopods from the Lower Ordovician of Texas,,,,,,,, 
2338,"Norford, B.S.",1973,no article title available,"Geological Society of Canada, Bull. 222","Geological Society of Canada, Bull. 222",,,22,3,, 
3467,"Ristedt, H.",1968,no article title available,"Akademie der Wissenschaften und der Literatur,","Akademie der Wissenschaften und der Literatur,",4,4,245,6,, 
934,"Brett,C.E., Whiteley, T. and P. Allison",1999,no article title available,Jour.Paleontology,Jour.Paleontology,73,2,295,,, 
1734,"Walcott, C.D.",1879,no article title available,New York State Mus. Ann. Rept. 31,New York State Mus. Ann. Rept. 31,,,69,70,, 
1737,"Prantl, F. and Pribyl, A.",1949,no article title available,"Rozpravy, s","Rozpravy, s",,,188,189,, 
3258,"Jackson, R.T.",1890,no article title available,Boston Soc.Nat.Hist.Mem.,Boston Soc.Nat.Hist.Mem.,4,8,332,,, 
5597,"Burr, H.T.",1900,no article title available,Am.Geologist,Am.Geologist,25,,49,,, 
1117,"Moore, R.C.",1962,no article title available,Kansas Univ.Paleont.Contr. Art.4,Kansas Univ.Paleont.Contr. Art.4,,,31,,, 
4133,"Smith, M.",1937,no article title available,"Nautilus,","Nautilus,",51,2,67,,, 
4331,"Welby, C.W.",1965,no article title available,Jour.Paleontology,Jour.Paleontology,39,2,288,289,, 
2555,"Vaughan, T.H. and J.E. Hoffmeister",1925,New species of fossil corals from the Dominican Republic ,"Bull. of the Museum of Comparative Zoology,","Bull. of the Museum of Comparative Zoology,",67,8,316,,, 
3701,"Maletz, J. and Mitchell, C.E.",1996,no article title available,Jour.Paleontology,Jour.Paleontology,70,4,647,650,, 
2681,"Rathbun, M.J.",1935,no article title available,Geol.Soc.Amer.Spec.Paper,Geol.Soc.Amer.Spec.Paper,2,2,35,3,, 
2754,"Bohaty, J.",2005,no article title available,Palaeont. Zeitschr.,Palaeont. Zeitschr.,79,2,220,,, 
4692,"John, D.L., N.C. Hughes, M.I. Galaviz, G.O. Gunderson and R. Meyer",2010,no article title available,"JOUR.PALEONTOLOGY,","JOUR.PALEONTOLOGY,",84,1,14,15,, 
9086,"Miller, S.A.",1874,no article title available,Cincinnati Quart.Jour.Sci.,Cincinnati Quart.Jour.Sci.,1,3,234,,, 
7601,"Buckman, S.S.",1888,no article title available,"Ammonites of the Inferior Oolite Series, pt.2","Ammonites of the Inferior Oolite Series, pt.2",,,35,53,, 
7892,"Bowen, Z.P.",1967,Brachiopoda of the Keyser Limestone (Silurian-Devonian) of Maryland and Adjacent Areas,GSA Memoir 102,GSA Memoir 102,,,63,64,, 
7167,"Burbank, L.S.",1871,no article title available,Boston Soc.Nat.Hist.Proc.,Boston Soc.Nat.Hist.Proc.,14,,196,197,, 
8145,"Brower, J.C.",1965,no article title available,"Jour.Paleontology,","Jour.Paleontology,",39,5,786,787,, 
9294,"Gould, S.J.",1969,An evolutionary microcosm: Pleistocene and recent history of the land snail <i>P</i>. (<i>Poecilozonites</i>) in Bermuda,Harvard Univ. Mus. Comp. Zoology Bull.,Harvard Univ. Mus. Comp. Zoology Bull.,138,7,471,,, 
6164,"Meek, F.B.",1864,no article title available,"Geological Survey of CA,Paleo.,","Geological Survey of CA,Paleo.,",1,,46,,, 
10407,[no agent data],,Invertebrate Paleontology Citations Placeholder Book,,,,,,,, 
9365,"Turek, V.",2008,no article title available,Czech Bulletin of Geosciences,Czech Bulletin of Geosciences,83,2,145,,, 
6570,"Phleger, F.B.",1937,New Lichadacea in the collections of the Museum of Comparative Zoology,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,80,11,416,417,, 
7753,"Bjork, P., P. Goldberg and Kesling, R.",1968,no article title available,Michigan Univ.Mus.Paleontology Contr.,Michigan Univ.Mus.Paleontology Contr.,22,4,55,,, 
5726,"Desor, E.",1858,no article title available,Synopsis des Echinides Fossiles,Synopsis des Echinides Fossiles,,,5,,, 
1267,"Stephenson, L.W.",1936,"Geology and Paleontology of the Georges Bank Canyons, Part II. Upper Cretaceous Fossils from Georges Bank (Including Specimens from Banquereau, Nova Scotia)","Geol.Soc.Amer.Bull. 47,","Geol.Soc.Amer.Bull. 47,",3,3,383,,, 
4862,"Clark,T.H.",1923,no article title available,Bost.Soc.Nat.Hist.Proc.,Bost.Soc.Nat.Hist.Proc.,36,8,482,483,, 
5802,Landing,1988,no article title available,Jour.Paleontology,Jour.Paleontology,62,5,673,675,, 
1838,"Raymond, P.E. and V.J. Okulitch",1940,Some Chazyan sponges,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,86,5,202,203,, 
3363,"Parsley, R.L.",1990,no article title available,"Jour. Paleontology,","Jour. Paleontology,",64,2,282,6,, 
4360,"Gahn, F.J. and Kammer, T.W.",2002,no article title available,Jour.Paleontology,Jour.Paleontology,76,1,123,1,, 
4802,"Petuch, E.J.",1987,no article title available,Nautilus,Nautilus,101,4,201,204,, 
4464,"Shaw, F.C.",1995,"Ordovician Trinucleid Trilobites of the Prague Basin, Czech Republic","Jour.Paleontology Mem.40,","Jour.Paleontology Mem.40,",69,3,11,,, 
1292,"Harris, R.W., C.E. Decker and Merritt,C.",1931,no article title available,Oklahoma Geol.Survey Bull.,Oklahoma Geol.Survey Bull.,55,55,88,89,, 
1362,"Congreve, C.R. and Lieberman, B.S.",2010,no article title available,"JOUR.PALEONTOLOGY,","JOUR.PALEONTOLOGY,",84,1,128,,, 
1300,"Stimpson, W.",1863,no article title available,Boston Soc.Nat.Hist.Jour.,Boston Soc.Nat.Hist.Jour.,7,4,583,589,, 
1439,"Walcott, C.D.",1912,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,57,9,252,270,, 
1345,"Allmon, W.D.",2005,no article title available,Jour. Paleontology,Jour. Paleontology,79,6,1234,,, 
1743,"Muir-Wood, H. and Cooper, G.A.",1960,"Morphology, Classification and Life Habits of the Productoidea (Brachiopoda)",G.S.A. Memoir 81,G.S.A. Memoir 81,,,362,5,, 
1756,"Packard, A.S.",1900,no article title available,Proc.Amer.Acad.Arts and Sci.,Proc.Amer.Acad.Arts and Sci.,36,1,3,,, 
2682,"Woodward, H.B.",1863,no article title available,Geol.Soc.London Quart.Journal,Geol.Soc.London Quart.Journal,19,19,318,,, 
4099,"Rogers, W.B. and Rogers, H.B.",1839,no article title available,Am.Philos.Soc.Trans.,Am.Philos.Soc.Trans.,6,14,,,, 
4102,"Hoare, R.D.",2002,no article title available,Jour.Paleontology,Jour.Paleontology,76,1,95,1,, 
4330,"Vaughan, T.W.",1900,no article title available,U.S.Geol.Survey Mon.,U.S.Geol.Survey Mon.,39,,178,179,, 
1192,"Jones, T.R.",1858,Notes on the Palaeozoic Bivalved Entomostraca No. IV. Some North American species,"Annals and Mag.Nat.Hist. ser.3,","Annals and Mag.Nat.Hist. ser.3,",1,4,251,,, 
2624,"Foerste, A.F.",1888,no article title available,Denison Univ.Bull,Denison Univ.Bull,3,,120,,, 
1859,"Bodenbender, B.E.",1996,no article title available,"Jour. Paleontology,","Jour. Paleontology,",70,3,469,,, 
2800,William More Gabb,1869,Cretaceous and Tertiary Fossils,"Geological Survey of CA: Paleontology,","Geological Survey of CA: Paleontology,",2,,139,40,, 
9132,"Croneis, C.",1926,New Cephalopods from the Fayetteville shale ,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,67,10,347,,, 
6363,"Foerste, A.F. and Savage, T.F.",1927,no article title available,Denison Univ.Sci.Lab.Jour.,Denison Univ.Sci.Lab.Jour.,22,1,85,,, 
6901,"Boucot, A.J.",1963,no article title available,Palaeontology,Palaeontology,5,4,685,,, 
6452,"Resser, C.E.",1935,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,93,5,19,,, 
7893,"Bowen, Z.P.",1966,"Boucotella, a new Silurian rhynchonelloid brachiopod genus","J. of Paleontology,","J. of Paleontology,",40,1,186,188,, 
7944,"Walcott, C.D.",1910,no article title available,Smithsonian Misc.Colln.,Smithsonian Misc.Colln.,53,6,284,,, 
9221,"Klipstein, A.",1843,no article title available,Beitrage zur Geologischen kenntniss der ostlichen Alpen,Beitrage zur Geologischen kenntniss der ostlichen,,,121,,, 
1213,"Oliver, W. A. Jr.",1958,no article title available,Jour.Paleontology,Jour.Paleontology,32,5,822,823,, 
2038,"Raymond, P.E.",1922,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,4,,461,464,, 
2043,"Olsson, A.",1912,no article title available,Amer.Jour.Sci.,Amer.Jour.Sci.,33,197,442,443,, 
3238,"Miller, S.A. and C.B. Dyer",1878,no article title available,"Contributions to Palaeontology,","Contributions to Palaeontology,",2,2,9,,, 
5864,"Gould, S.J. and Robinson, B.",1994,no article title available,"Paleobiology,","Paleobiology,",20,3,374,,, 
1284,"Raymond, P.E.",1937,no article title available,Geol.Soc.Amer.Bull,Geol.Soc.Amer.Bull,48,8,1128,,, 
14522,"Kummel, B.",1963,Miscellaneous nautilid type species of Alpheus Hyatt,,,,,,,, 
3124,"DeMott, L.L.",1987,Platteville and Decorah trilobites from Illinois and Wisconsin,Minnesota Geol.Survey Report of Invest. 35,Minnesota Geol.Survey Report of Invest. 35,,,72,73,, 
1293,"Harris, R.W.",1957,no article title available,Oklahoma Geol.Survey Bull.,Oklahoma Geol.Survey Bull.,75,75,152,,, 
6047,"Kjellesvig-Waering, E.N.",1964,no article title available,"J. of Paleontology,","J. of Paleontology,",38,2,355,,, 
3295,"Sprinkle, J.T. and R.C. Gutschick",1967,no article title available,Jour.Paleontology,Jour.Paleontology,41,2,390,398,, 
2366,"Erben, H.K.",1967,no article title available,Neus Jahrb.Geologie U.Palaontologie Abh.,Neus Jahrb.Geologie U.Palaontologie Abh.,129,1,19,20,, 
3554,"Raymond, P.E.",1928,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,5,,311,312,, 
1168,"Bowsher, A.L.",1955,Echinodermata,"Kansas Univ.Paleont.Contr.Articles: Echinodermata,Art.1",Kansas Univ.Paleont.Contr.Articles: Echinodermata,,,12,,, 
882,"Thomas, R.D.",1976,no article title available,Paleobiology,Paleobiology,2,1,67,,, 
897,"Hauser, J.",2001,no article title available,Neubeschreibung mitteldevonischer Eifel-Crinoiden aus der Sammlung Schultze,Neubeschreibung mitteldevonischer Eifel-Crinoiden,,,53,,, 
3967,T.T. Bouvé,1851,no article title available,Proc.Boston Soc.Nat.Hist.,Proc.Boston Soc.Nat.Hist.,4,,3,,, 
1767,"Okulitch, V.J.",1943,no article title available,Geol.Soc.Amer.Spec.Paper,Geol.Soc.Amer.Spec.Paper,48,48,74,75,, 
3243,"Foerste, A.F.",1924,no article title available,Denison Univ.Sci.Lab.Jour.,Denison Univ.Sci.Lab.Jour.,20,10,228,231,, 
5475,"Silberling, N.J. and Nichols, K.M.",1982,no article title available,U.S.Geol.Survey Prof.Paper 1207,U.S.Geol.Survey Prof.Paper 1207,,,42,43,, 
1078,"Whittington, H.B.",1957,no article title available,Jour.Paleontology,Jour.Paleontology,31,5,937,,, 
4101,"Runnegar, B.",1972,no article title available,Malacological Soc.London. Proc.,Malacological Soc.London. Proc.,40,1,55,,, 
1200,"Shaw, A.B.",1955,no article title available,Jour.Paleontology,Jour.Paleontology,29,5,777,,, 
2614,"Whittington, H.B.",1952,A unique remopleuridid trilobite,Harvard Univ.Mus.Comp.Zoology Breviora,Harvard Univ.Mus.Comp.Zoology Breviora,4,,3,9,, 
1421,"DeKoninck, L.G.",1878,no article title available,Faune de Calcaire Carbon. de la Belgique,Faune de Calcaire Carbon. de la Belgique,,,105,6,, 
2656,"Schram, F., Feldmann, R.M. and Copeland",1978,no article title available,Jour.Paleontology,Jour.Paleontology,52,6,1376,,, 
2674,"Meyer, H.von",1862,no article title available,Palaeontographica,Palaeontographica,10,,153,154,, 
2726,"Cisne, J.L.",1967,no article title available,Jour. Paleontology,Jour. Paleontology,41,5,1270,,, 
1942,"Macurda, D.B.",1968,no article title available,Jour.Paleontology Suppl.,Jour.Paleontology Suppl.,2,2,115,,, 
1958,"Phillips, J.",1835,no article title available,"Illustrations of the Geology of Yorkshire, Part 1","Illustrations of the Geology of Yorkshire, Part 1",,,115,117,, 
8020,"Briggs, D.E.",1978,no article title available,"Philos. Trans.,","Philos. Trans.,",281,984,,,, 
14436,Raymond P.E.,1946,The genera of fossil <i>Conchostraca</i> - an order of bivalved Crustacea,,,,,,,, 
8192,"Kobayashi, T.",1943,no article title available,Tokyo Imperial Acad. Proc.,Tokyo Imperial Acad. Proc.,19,,38,,, 
6188,"Whittington, H.B.",1961,no article title available,Jour.Paleontology,Jour.Paleontology,35,5,916,,, 
6324,"Flower, R.H.",1975,no article title available,"Bulls.Am.Paleontology,","Bulls.Am.Paleontology,",67,287,162,164,, 
6962,"Kummel, B.",1965,no article title available,"New Zealand Journal of Geology+Geophysics,","New Zealand Journal of Geology+Geophysics,",8,3,538,,, 
9288,"Lane, P.D.",2002,no article title available,Palaeontology Spec. Paper,Palaeontology Spec. Paper,67,,158,4,, 
7968,William More Gabb,1860,no article title available,Jour.Acad.Nat.Sci.(2),Jour.Acad.Nat.Sci.(2),4,,395,,, 
5732,"Agassiz, L. and Desor, E.",1847,no article title available,Cat. Raisonne de la Classe des Echinodermes,Cat. Raisonne de la Classe des Echinodermes,,,35,,, 
5799,"Agassiz, A.E. and L.F. de Pourtales",1874,"Illustrated Catalogue of the Museum of Comparative Zoology. No. VIII. Zoological Results of the Hassler Expedition. I. Echini, crinoids, and corals.",Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,4,8,13,,, 
4655,Joachim Barrande,1865,no article title available,"Systeme Silurien du Centre de la Boheme,v.II 1865 and v.II,pt.I, 1867","Systeme Silurien du Centre de la Boheme,v.II 1865",,,93,94,, 
4789,"Newton, H.",1880,no article title available,Report on the Geology and Resources of the Black Hills of Dakota,Report on the Geology and Resources of the Black ,,,440,,, 
3357,"Oliver, W. A. Jr., W. J. Sando, S. D. Cairns, A. G. Coates, F.M. Bayer, J. E. Sorauf and W. A. Oliver Jr.",1984,"<i>Conchopeltis</i>: Its Affinities and Significance in Recent Advances <i>in</i> the Paleobiology and Geology of the Cnidaria. <i>Proceedings of the Fourth International Symposium on Fossil Cnidaria held in Washington, DC, U.S.A., August, 1983</i>",Palaeontographica Americana,Palaeontographica Americana,54,54,141,,, 
2262,"Whittington, H.B.",1968,no article title available,Jour.Paleontology,Jour.Paleontology,42,3,708,,, 
2181,"Moore, R.C., ed.",1960,no article title available,Treatise on Invertebrate Paleontology,Treatise on Invertebrate Paleontology,,,,,, 
863,"Gould, S.J. and Woodruff, D.S.",1986,no article title available,Am. Mus. Nat. History Bull.,Am. Mus. Nat. History Bull.,182,4,482,483,, 
1348,"Shaw, F.C.",1968,no article title available,New York State Mus. and Sci. Service Mem. 17,New York State Mus. and Sci. Service Mem. 17,,,31,32,, 
1147,"Wachsmuth, C. and Frank Springer",1897,The North American Crinoidea camerata. Volume II.,Harvard Univ.Mus.Comp.Zoology Mem.,Harvard Univ.Mus.Comp.Zoology Mem.,21,,674,,, 
1759,"Scudder, S. H.",1882,no article title available,Boston Soc.Nat.Hist.Mem.,Boston Soc.Nat.Hist.Mem.,3,5,160,7,, 
1778,"Dawson, J.W.",1868,no article title available,Acadian Geology 2nd ed.,Acadian Geology 2nd ed.,,,496,,, 
3119,"Foord, A.H.",1900,"The Carboniferous Cephalopoda of Ireland, Part 3",Palaeontological Soc. London Mon.,Palaeontological Soc. London Mon.,54,,99,100,, 
1080,"Raymond, P.E.",1914,Notes on the ontogeny of <i>Isolelus gigas</i> Dekay,Harvard Univ.Mus.Comp.Zoology Bull.,Harvard Univ.Mus.Comp.Zoology Bull.,58,5,260,261,, 
4146,"Flower, R.H.",1968,no article title available,"New Mexico Bur.Mines and Mineral Resources Mem.19,Part II",New Mexico Bur.Mines and Mineral Resources Mem.19,,,42,7,, 
4192,"Hoare, R.D.",2002,no article title available,Jour.Paleontology,Jour.Paleontology,76,3,570,1,, 
4334,"Blake, D.B. and Guensburg, T.E.",1993,no article title available,Jour. Paleontology,Jour. Paleontology,67,1,111,112,, 
3716,"Fletcher, T.P. and Theokritoff, G.",2008,no article title available,Northeastern Geo. Env. Sci.,Northeastern Geo. Env. Sci.,30,4,312,,, 
1282,"Walcott, C.D.",1884,Description of New Species of Fossils from the Trenton Group of New York.,New York State Mus.Nat.Hist. 35th Ann.Rept.,New York State Mus.Nat.Hist. 35th Ann.Rept.,,,213,,, 
2814,"Okulitch, V.J. and Albritton, C.C.",1937,no article title available,Jour.Paleontology,Jour.Paleontology,11,1,24,,, 
4664,"Clench, W.J. and C.G. Aguayo y Castro",1939,no article title available,Mem.Soc.Cubana de Hist.Nat.,Mem.Soc.Cubana de Hist.Nat.,13,5,357,358,, 
4669,"Raymond, P.E.",1924,no article title available,Fourteenth Biennial Rpt. Vermont State Geol.,Fourteenth Biennial Rpt. Vermont State Geol.,,,1,5,, 
4718,"Clark, T.H.",1922,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,4,21,245,248,, 
8327,"Martens, T.",1986,"Zur Taxonomie und Biostratigraphie der Conchostraca (Phyllopoda, Crustacea) des Oberkarbon und Perm der USA. Teil 2","Abh.Ber.Mus.Nat.Gotha,Nr.13","Abh.Ber.Mus.Nat.Gotha,Nr.13",,,56,,, 
7178,"Ross, J.P.",1967,no article title available,Jour.Paleontology,Jour.Paleontology,41,3,641,644,, 
6746,"Hyatt, A.",1900,no article title available,"Cephalopoda, Zittle-Eastman Textbook Palaeontology","Cephalopoda, Zittle-Eastman Textbook Palaeontolog",,,526,,, 
6869,"Baumiller, T. K. and Macurda, Jr., D.B.",1995,no article title available,"J. of Paleontology,","J. of Paleontology,",69,6,1084,86,, 
8957,"Meek, F.B. and A.H. Worthen",1866,no article title available,Illinois Geo.Survey Rept.,Illinois Geo.Survey Rept.,2,,238,,, 
8840,"Holloway, D. J.",2007,"The trilobite Protostygina and the composition of the Styginidae, with two new genera.",Palaeont.  Zeitschr.,Palaeont.  Zeitschr.,81,1,7,,, 
9346,"Gould, S.J.",1971,no article title available,Jour. Paleontology,Jour. Paleontology,45,3,417,,, 
9482,"Grabau, A. W.",1899,no article title available,"Buffalo Soc.Nat.Sci.Bull,","Buffalo Soc.Nat.Sci.Bull,",6,2,124,,, 
1025,"Meek, F.B. and A.H. Worthen",1869,no article title available,Acad.Nat.Sci.Philadelphia Proc.,Acad.Nat.Sci.Philadelphia Proc.,,,139,,, 
1893,"Billings, M. and Cleaves, A.",1934,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,28,5,422,,, 
4753,"Shimer, H.W. and Blodgett, M.E.",1908,no article title available,Am.Jour.Sci.,Am.Jour.Sci.,25,,64,65,, 
5883,"Ludvigsen, R.",1977,no article title available,Jour.Paleontology,Jour.Paleontology,51,5,965,966,, 
